CustCode,CustName,VouchDate,Voucher,ReffNo,,Debit,,Credit,,Balance,
TSL021-EUR,Abc Company,,,,,,,,,,
,,4/7/2020,PI012040,FVA20_200031,,"9,000.00",,0.00,,"9,000.00",
,,,,,,"9,000.00",,0.00,,"9,000.00",
,,,,,,"18,000.00",,0.00,,"18,000.00",
TSA002-GTE,Alpha Company,,,,,,,,,,
,,4/1/2020,PI011992,43940,,"4,173.00",,0.00,,"4,173.00",
,,4/1/2020,PI011993,43941,,"4,173.00",,0.00,,"4,173.00",
,,5/1/2020,PI012055,43969,,"4,173.00",,0.00,,"4,173.00",
,,5/1/2020,PI012056,43970,,"4,173.00",,0.00,,"4,173.00",
,,,,,,"34,692.00",,0.00,,"34,692.00",
TSA002-PSR,Alpha Machine Pte Ltd,,,,,,,,,,
,,4/1/2020,PI011994,43942,,"4,815.00",,0.00,,"4,815.00",
,,5/1/2020,PI012057,43971,,"4,815.00",,0.00,,"4,815.00",
,,,,,,"9,630.00",,0.00,,"9,630.00",
TSA004-AMB,Access Company,,,,,,,,,,
,,4/16/2020,PI012019,IN2004063,,"2,247.00",,0.00,,"2,247.00",
,,,,,,"2,247.00",,0.00,,"2,247.00",
TSA-017SGD,Ancc Pte Ltd,,,,,,,,,,840.00
,,4/6/2020,PI012023,A2004/133,,840.00,,0.00,,840.00,
,,,,,,840.00,,0.00,,840.00,
TSA0356-SG,Ankc Pte Ltd,,,,,,,,,,214.00
,,5/21/2020,PI012053,AR202005-017448,,214.00,,0.00,,214.00,
,,,,,,214.00,,0.00,,214.00,
TSA202-SGA,Astc Pte Ltd,,,,,,,,,,107.00
,,12/2/2019,PI011452,IN1912005,,"16,050.00",,0.00,,"16,050.00",
,,1/2/2020,PI011700,IN2001004,,"16,050.00",,0.00,,"16,050.00",
,,2/11/2020,PI011790,IN2002004,,"16,050.00",,0.00,,"16,050.00",
,,3/2/2020,PI011915,IN2003004,,"16,050.00",,0.00,,"16,050.00",
,,4/1/2020,PI011973,IN2004003,,"16,050.00",,0.00,,"16,050.00",
,,,,,,"80,250.00",,0.00,,"80,250.00",
TSB002-SGD,Bells Pte Ltd,,,,,,,,,,296.39
,,4/29/2020,PI012024,252376,,107.00,,0.00,,107.00,
,,,,,,107.00,,0.00,,107.00,
TSB010-SGD,Bok Ptd Ltd,,,,,,,,,,699.73
,,4/23/2020,PI012034,PL57179,,160.50,,0.00,,160.50,
,,5/1/2020,PI012058,PL56576,,135.89,,0.00,,135.89,
,,5/30/2020,PI012059,PL58117,,104.86,,0.00,,104.86,
,,5/30/2020,PI012060,PL58115,,328.49,,0.00,,328.49,
,,,,,,729.74,,0.00,,729.74,
,,,,,,#REF!,,#REF!,,#REF!,
TSC012-SGD,Caud Paints Pte Ltd,,,,,,,,,,979.05
,,3/6/2020,PI011945,280020,,378.78,,0.00,,378.78,
,,3/13/2020,PI011946,280292,,303.88,,0.00,,303.88,
,,4/3/2020,PI012033,280993,,296.39,,0.00,,296.39,
,,,,,,979.05,,0.00,,979.05,
TSC022-SGD,Crim Pte Ltd,,,,,,,,,,"1,219.80"
,,4/1/2020,PI011971,A153102,,577.80,,0.00,,577.80,
,,4/1/2020,PI012025,A152940,,64.20,,0.00,,64.20,
,,4/30/2020,PI012035,A153931,,577.80,,0.00,,577.80,
,,5/31/2020,PI012054,A154762,,577.80,,0.00,,577.80,
,,,,,,"1,797.60",,0.00,,"1,797.60",
